Linux 6.8.0-52-generic (SnowBrain) 	07.03.2025 	_x86_64_	(4 CPU)

14.39.18     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
14.39.19     all    5,03    0,00    2,01    0,00    0,00    0,00    0,00    0,00    0,00   92,96
14.39.20     all   14,21    0,00   18,27    0,00    0,00    0,00    0,00    0,00    0,00   67,51
14.39.21     all    1,26    0,00    1,76    0,00    0,00    0,00    0,00    0,00    0,00   96,98
14.39.22     all    2,76    0,00    2,51    0,00    0,00    0,00    0,00    0,00    0,00   94,72
14.39.23     all    0,50    0,00    0,25    0,00    0,00    0,00    0,00    0,00    0,00   99,25
14.39.24     all    2,51    0,00    4,76    0,25    0,00    0,00    0,00    0,00    0,00   92,48
14.39.25     all   29,16    0,00   17,90    0,00    0,00    0,26    0,00    0,00    0,00   52,69
14.39.26     all   25,00    0,00    7,22    0,26    0,00    0,26    0,00    0,00    0,00   67,27
14.39.27     all   19,40    0,00   10,58    0,00    0,00    0,25    0,00    0,00    0,00   69,77
14.39.28     all   36,86    0,00    7,73    1,03    0,00    0,26    0,00    0,00    0,00   54,12
14.39.29     all   11,25    0,00    8,18    0,26    0,00    0,00    0,00    0,00    0,00   80,31
14.39.30     all    2,51    0,00    4,77    0,00    0,00    0,00    0,00    0,00    0,00   92,71
14.39.31     all   12,34    0,00    9,07    0,25    0,00    0,50    0,00    0,00    0,00   77,83
14.39.32     all    1,52    0,00    0,51    0,00    0,00    0,00    0,00    0,00    0,00   97,98
14.39.33     all    4,01    0,00    3,26    0,00    0,00    0,00    0,00    0,00    0,00   92,73
14.39.34     all    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   97,99
14.39.35     all    2,27    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,71
14.39.36     all    5,25    0,00    8,25    0,00    0,00    0,00    0,00    0,00    0,00   86,50
14.39.37     all    2,50    0,00    2,75    0,25    0,00    0,00    0,00    0,00    0,00   94,50
14.39.38     all    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
14.39.39     all    1,75    0,00    2,26    0,00    0,00    0,00    0,00    0,00    0,00   95,99
14.39.40     all    0,50    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,00
14.39.41     all    0,25    0,00    0,50    0,00    0,00    0,00    0,00    0,00    0,00   99,24
14.39.42     all    1,75    0,00    2,25    0,25    0,00    0,00    0,00    0,00    0,00   95,75
14.39.43     all    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
14.39.44     all    1,26    0,00    2,51    0,00    0,00    0,00    0,00    0,00    0,00   96,23
14.39.45     all    0,75    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,25
14.39.46     all    1,75    0,00    2,76    0,00    0,00    0,00    0,00    0,00    0,00   95,49
14.39.47     all    0,75    0,00    0,25    0,25    0,00    0,00    0,00    0,00    0,00   98,75
14.39.48     all    1,51    0,00    2,27    0,00    0,00    0,00    0,00    0,00    0,00   96,22
14.39.49     all    6,73    0,00    6,98    0,25    0,00    0,00    0,00    0,00    0,00   86,03
14.39.50     all    1,76    0,00    2,77    0,00    0,00    0,00    0,00    0,00    0,00   95,47
14.39.51     all    1,00    0,00    0,25    0,00    0,00    0,00    0,00    0,00    0,00   98,75
14.39.52     all    2,01    0,00    3,26    0,25    0,00    0,00    0,00    0,00    0,00   94,49
14.39.53     all    0,50    0,00    0,25    0,00    0,00    0,00    0,00    0,00    0,00   99,25
14.39.54     all    2,02    0,00    2,52    0,00    0,00    0,00    0,00    0,00    0,00   95,47
14.39.55     all    0,50    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,50
14.39.56     all    1,50    0,00    2,26    0,00    0,00    0,00    0,00    0,00    0,00   96,24
14.39.57     all    5,29    0,00    7,30    0,25    0,00    0,00    0,00    0,00    0,00   87,15
14.39.58     all    2,02    0,00    2,78    0,00    0,00    0,00    0,00    0,00    0,00   95,20
14.39.59     all    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
